C:\Program Files\Instrument Systems\LumiSuite SDK\bin\1394camera.dll ; 6.4.6.240
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\BlackMuraModel.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\CAS4x64.dll ; 4.9.2.2572
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\CasWrapperCpp.dll ; 0.4.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\DcCameraFw.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\FlickerLib.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\HorusCore.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\HorusGUI.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\HorusImportExport.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\HorusModel.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\HorusProcessing.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\HorusRuntime.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\HorusSensors.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\InstrumentSystems.LumiSuite.BlackMura.dll ; 1.14.0.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\InstrumentSystems.LumiSuite.Core.dll ; 1.14.0.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\InstrumentSystems.LumiSuite.LumiTOP.dll ; 1.14.0.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\JpegXR.dll ; 1.8.4.12
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\KmCa310JeitaFlicker.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libdc1394-22.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libgcc_s_seh-1.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libgomp-1.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libiomp5md.dll ; 5.0.2011.1108
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libjxrlib.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libssp-0.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libstdc++-6.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\libwinpthread-1.dll ; 1.0.0.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Logger.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\LoggerQt.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\LumiTOP.dll ; 2.0.3.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\LumiTOPCore.dll ; 2.0.3.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\LumiTOPSensor.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_analysis.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_calibration.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_comm_tqboard_adapter_qt.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_core.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_fileformats_fits.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_hardware.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_imaging.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_imaging_camera.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_jobengine.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_jobengine_task.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_palette.dll ; 1.14.0.40473
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\lumi_xml.dll ; ---
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_calib3d401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_core401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_features2d401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_flann401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_highgui401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_imgcodecs401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_imgproc401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_ml401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\opencv_video401.dll ; 4.0.1.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Qt5Charts.dll ; 5.12.4.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Qt5Core.dll ; 5.12.4.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Qt5Gui.dll ; 5.12.4.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Qt5Network.dll ; 5.12.4.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Qt5SerialPort.dll ; 5.12.4.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Qt5Widgets.dll ; 5.12.4.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\Qt5Xml.dll ; 5.12.4.0
C:\Program Files\Instrument Systems\LumiSuite SDK\bin\SDKBlackMura.dll ; ---
